skill_raw;skill_normalized;domain;field;type_of_skill
Autodesk MotionBuilder;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk Robot Structural Analysis;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk Smoke;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk Software;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk Tinkercad;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk Vault;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Automation;Automation;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
Integration;Automation;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
Process automation;Automation;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
Process optimization;Automation;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
AWS Lambda;AWS;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
Amazon Web Services (AWS);AWS;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
Azure Databricks;Microsoft Azure;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Databricks;Microsoft Azure;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
B2B-Marketing;B2B Marketing;Marketing;Marketing, Sales;Hard, Soft
Business-to-business;B2B Marketing;Marketing;Marketing, Sales;Hard, Soft
Backend Development;Backend Development;Software Engineering, Mobile Development;IT;Hard
Backend-Webentwicklung;Backend Development;Software Engineering, Mobile Development;IT;Hard
Backup Management;Backup Management;Software Engineering, Computer Science;IT;Hard
Backup & Recovery Systems;Backup Management;Software Engineering, Computer Science;IT;Hard
Backup Exec;Backup Management;Software Engineering, Computer Science;IT;Hard
Backup Solutions;Backup Management;Software Engineering, Computer Science;IT;Hard
Backup and Recovery;Backup Management;Software Engineering, Computer Science;IT;Hard
BackupPC;Backup Management;Software Engineering, Computer Science;IT;Hard
Data Backup Solutions;Backup Management;Software Engineering, Computer Science;IT;Hard
NT Backup;Backup Management;Software Engineering, Computer Science;IT;Hard
Network Backup;Backup Management;Software Engineering, Computer Science;IT;Hard
Offsite Backup;Backup Management;Software Engineering, Computer Science;IT;Hard
Online Backup;Backup Management;Software Engineering, Computer Science;IT;Hard
Symantec Backup;Backup Management;Software Engineering, Computer Science;IT;Hard
Syncsort Backup Express;Backup Management;Software Engineering, Computer Science;IT;Hard
Tape Backup;Backup Management;Software Engineering, Computer Science;IT;Hard
Veeam Backup & Replication;Backup Management;Software Engineering, Computer Science;IT;Hard
Banana accounting;Banana Accounting;Accounting, Finance, Operations;General, Legal;Hard
