skill_raw;skill_normalized;domain;field;type_of_skill
JavaServer Pages (JSP);Java;Data Analytics, Data Science, Software Engineering, Data Engineering;IT;Hard
JavaServer Pages Standard Tag Library (JSTL);Java;Data Analytics, Data Science, Software Engineering, Data Engineering;IT;Hard
Javadoc;Java;Data Analytics, Data Science, Software Engineering, Data Engineering;IT;Hard
Sun Certified Java Programmer;Java;Data Analytics, Data Science, Software Engineering, Data Engineering;IT;Hard
Sun Java;Java;Data Analytics, Data Science, Software Engineering, Data Engineering;IT;Hard
Sun Java System Web Server;Java;Data Analytics, Data Science, Software Engineering, Data Engineering;IT;Hard
Javascript;JavaScript;Software Engineering;IT;Hard
JavaScript Frameworks;JavaScript;Software Engineering;IT;Hard
JavaScript Libraries;JavaScript;Software Engineering;IT;Hard
JavaScriptMVC;JavaScript;Software Engineering;IT;Hard
Unobtrusive Javascript;JavaScript;Software Engineering;IT;Hard
Joomla;Joomla;Copywriting, Digital Marketing, Software Engineering;IT;Hard, Soft
Journalism;Journalism;General, Communication;General, Communication;Hard, Soft
Kaizen;Kaizen;Sales;Sales;Hard, Soft
Keyword Research;Keyword Research;Marketing, SEO;Marketing;Hard, Soft
KNIME;KNIME;Data Analytics, Data Science;IT, Statistics;Hard
LaTeX;LaTeX;Computer Science;IT;Hard
Demand Generation;Lead Generation;Marketing;Marketing;Hard, Soft
Lead Generation;Lead Generation;Marketing;Marketing;Hard, Soft
Lead Management;Lead Generation;Marketing;Marketing;Hard, Soft
Cross-functional Team Leadership;Team Management;General;Communication;Hard, Soft
Leadership;Leadership;General;Communication;Soft
Leadership;Leadership;General;Communication;Soft
Leadership Development;Leadership;General;Communication;Soft
Team Leadership;Team Management;General;Communication;Hard, Soft
Legal advice;Legal Counseling;Legal;General, Legal;Hard
Privacy Act;Data Privacy Compliance and Regulations Law;Legal;General, Legal;Hard
Legal consulenza;Legal Counseling;Legal;General, Legal;Hard
Privacy Protection;Data Privacy Compliance and Regulations Law;Legal;General, Legal;Hard
Procedural Tax Law;Tax Analyst;Accounting, Finance, Operations;General, Legal;Hard
Tax;Tax Analyst;Accounting, Finance, Operations;General, Legal;Hard
Tax Advisory;Tax Analyst;Accounting, Finance, Operations;General, Legal;Hard
Tax Law;Tax Analyst;Accounting, Finance, Operations;General, Legal;Hard
auxiliary workers;Corporate and Business Law;Legal;General, Legal;Hard
Link Building;Link Building;Marketing, SEO;Marketing;Hard, Soft
LinkedIn Sales Navigator;LinkedIn Sales Navigator;Customer Relationship Management, Data Analytics, HR;Sales, HR;Hard, Soft
Embedded Linux;Linux;Computer Science, DevOps, Software Engineering;IT;Hard
GNU/Linux;Linux;Computer Science, DevOps, Software Engineering;IT;Hard
Linux;Linux;Computer Science, DevOps, Software Engineering;IT;Hard
Unix;Linux;Computer Science, DevOps, Software Engineering;IT;Hard
Machine Learning;Machine Learning;Data Science, Data Analytics;IT, Statistics;Hard
MacroModel;MacroModel;Biology, Chemistry, Physics;Research;Hard
Maestro;Maestro;Project Management;General;Hard
Mailchimp;Mailchimp;Marketing;Marketing;Hard, Soft
Corrective Maintenance;Maintenance;General;General;Soft
Maintenance & Repair;Maintenance;General;General;Soft
Maintenance Engineering;Maintenance;General;General;Soft
Maintenance Planning;Maintenance;General;General;Soft
Preventive Maintenance;Maintenance;General;General;Soft
Service Parts;Maintenance;General;General;Soft
Spare Parts;Maintenance;General;General;Soft
Valves;Maintenance;General;General;Soft
Vehicles;Maintenance;General;General;Soft
Management;Management;General;General;Soft
Management Consulting;Management;General;General;Soft
Management Program;Management;General;General;Soft
Manufacturing;Manufacturing;Industrial Engineering, General;General, Engineering;Hard
Manufacturing execution systems;Manufacturing;Industrial Engineering, General;General, Engineering;Hard
Market Analysis;Market Research;Data Analytics;IT;Hard
Market Engineer;Market Research;Data Analytics;IT;Hard
Market Entry;Market Research;Data Analytics;IT;Hard
Market Research;Market Research;Data Analytics;IT;Hard
Marktanalyse;Market Research;Data Analytics;IT;Hard
Verkaufsanalyse;Market Research;Data Analytics;IT;Hard
Marketing strategy;Marketing Management;Marketing;Marketing;Hard, Soft
Marketing;Marketing Management;Marketing;Marketing;Hard, Soft
App Marketing;Marketing Management;Marketing;Marketing;Hard, Soft
Market management;Marketing Management;Marketing;Marketing;Hard, Soft
Marketing Communications;Marketing Management;Marketing;Marketing;Hard, Soft
Marketing Management;Marketing Management;Marketing;Marketing;Hard, Soft
Marketing and Sales;Marketing Management;Marketing;Marketing;Hard, Soft
Marketingkommunikation;Marketing Management;Marketing;Marketing;Hard, Soft
Pricing;Marketing Management;Marketing;Marketing;Hard, Soft
Pricing Strategy;Marketing Management;Marketing;Marketing;Hard, Soft
Strategia in marketing;Marketing Management;Marketing;Marketing;Hard, Soft
Trainee Marketing & Communication;Marketing Management;Marketing;Marketing;Hard, Soft
Transfer Pricing;Marketing Management;Marketing;Marketing;Hard, Soft
1-to-1 Marketing;Marketing Management;Marketing;Marketing;Hard, Soft
Marvelapp;Marvelapp;Design, Art, Modeling;Design;Hard
Mathematics;Mathematics;Mathematics;Research;Hard
Matlab;Matlab;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Automotive Engineering;Mechanical Engineering;Engineering;Design, Engineering;Hard
Mechanical Engineering;Mechanical Engineering;Engineering;Design, Engineering;Hard
Prognosis;Medical Advice;Medical, Pharmaceuticals;Healthcare;Hard
Clinical Chemistry;Medicinal Chemistry;Chemistry, Research, Medical;Research;Hard
Medicinal Chemistry;Medicinal Chemistry;Chemistry, Research, Medical;Research;Hard
Merchandising;Merchandising;Marketing;Marketing;Hard, Soft
Mergers & Acquisitions;Mergers & Acquisitions;Operations, Legal;Legal;Hard, Soft
MES;MES;HR;HR, Legal;Hard
Microcontrollers;Microcontrollers;Computer Science, Software Engineering, Electronics;IT, Electronics, Engineering;Hard
Microsoft Access;Microsoft Access;Operations;General;Hard, Soft
Microsoft Excel;Microsoft Excel;Operations;General;Hard, Soft
Excel models;Microsoft Excel;Operations;General;Hard, Soft
Microsoft Office;Microsoft Office;Operations;General;Hard, Soft
MS Office (Word, Excel, PowerPoint, Acess);Microsoft Office;Operations;General;Hard, Soft
MS Office (Word Excel Powerpoint Acess);Microsoft Office;Operations;General;Hard, Soft
MS Project;Microsoft Office;Operations;General;Hard, Soft
Microsoft Office Publisher;Microsoft Office;Operations;General;Hard, Soft
Microsoft nologies;Microsoft Office;Operations;General;Hard, Soft
Office 365;Microsoft Office;Operations;General;Hard, Soft
Pack Office;Microsoft Office;Operations;General;Hard, Soft
Microsoft Outlook;Microsoft Outlook;Operations;General;Hard, Soft
Microsoft Power BI;Microsoft Power BI;Data Analytics;IT, Statistics;Hard
Microsoft PowerPoint;Microsoft PowerPoint;Operations;General;Hard, Soft
Powerpoint;Microsoft PowerPoint;Operations;General;Hard, Soft
Presentations;Microsoft Powerpoint;Operations;General;Hard, Soft
Microsoft SQL Server;Microsoft SQL Server;Data Analytics, Software Engineering;IT, Statistics;Hard
Microsoft Windows;Microsoft Windows;General;General;Hard, Soft
Windows;Microsoft Windows;General;General;Hard, Soft
Windows 7;Microsoft Windows;General;General;Hard, Soft
Microsoft Word;Microsoft Word;Operations;General;Hard, Soft
MestRenova (Mnova);Mnova;Chemistry;Research;Hard
Mobile Advertising;Advertising;Marketing;Marketing;Hard, Soft
Mobile Applications;Mobile Applications;General;General;Soft
Mobile Devices Development;Mobile Devices Development;General;General;Soft
Mobile Marketing;Mobile Marketing;Marketing;Marketing;Hard, Soft
Music;Music;Music;Music;Hard, Soft
music industry;Music;Music;Music;Hard, Soft
Music Publishing;Music Publishing;Music;Music;Hard, Soft
Negotiation;Negotiation;Sales;Negotiation, Communication, Sales;Hard, Soft
Network Administration;Network Administration;Computer Science;IT;Hard
100-105;Network Administration;Computer Science;IT;Hard
Contract Management;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
Contract Negotiation;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
Contract activation;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
First Level Support Contracts;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
New Business Development;New Business;Sales;Sales;Hard, Soft
nielsen;Nielsen Media;Data Analytics;IT;Hard
NoSQL;NoSQL;Software Engineering, Data Engineering;IT;Hard
Nuclear Chemistry;Nuclear Chemistry;Chemistry, Research;Research;Hard
Online Research;Online Research;General;General;Hard, Soft
Operational Turnaround;Operations Management;Operations;Operations;Hard, Soft
Operations Management;Operations Management;Operations;Operations;Hard, Soft
Succession Planning;Operations Management;Operations;Operations;Hard, Soft
Oracle E-Business Suite;Oracle E-Business Suite;Data Engineering, Software Engineering;IT;Hard
Oracle SQL Developer;Oracle SQL Developer;Data Engineering, Software Engineering;IT;Hard
order processing;Order Processing;Operations;General;Hard, Soft
Organic Synthesis;Organic Synthesis;Biology, Chemistry, Physics;Research;Hard
Organization Skills;Organizational Skills;General;General;Soft
Packaging;Packaging;Logistics, Sales;Logistics, Sales;Hard, Soft
Pandas;Pandas;Data Analytics, Data Science, Data Engineering;IT;Hard
Compensation;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
Compensation & Benefits;Benefits Administration;HR;HR;Hard
Development of human resources;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
Employee Engagement;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
Employee Learning & Development;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
Employee Relations;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
Employee Training;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
Employment Law;Labor Law Supervision;Legal;Legal;Hard
Event Management;Event Planning;General, Operations;General, Operations;Hard, Soft
Event Planning;Event Planning;General, Operations;General, Operations;Hard, Soft
Formation;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
Gestion;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
Gestione team;Team Management;General;Communication;Hard, Soft
Gestione team cross-functional;Team Management;General;Communication;Hard, Soft
HR Consulting;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
HR Management;HR Analytics;HR;HR;Hard
HR Organization & People Development Specialist;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
HR Policies;HR Analytics;HR;HR;Hard
HR Strategy;HR Analytics;HR;HR;Hard
HR specialist;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
HRIS implementation;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
Holacracy;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
Hospitality;Hospitality Customer Service;General, Management, Hospitality;Hospitality, General;Hard, Soft
Hospitality Management;Hospitality Customer Service;General, Management, Hospitality;Hospitality, General;Hard, Soft
Hotel Management;Hotel Management and Operations;General, Management, Hospitality;Hospitality, General;Hard, Soft
Hotelaria;Hotel Management and Operations;General, Management, Hospitality;Hospitality, General;Hard, Soft
